"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,3220.0,2224.6,"FPC"
"01-01-2012",1,3071.0,2089.4000000000005,"FPC"
"01-01-2012",2,2922.0,2017.7999999999997,"FPC"
"01-01-2012",3,2830.0,1983.8000000000002,"FPC"
"01-01-2012",4,2813.0,1979.7000000000003,"FPC"
"01-01-2012",5,2859.0,1999.7040000000002,"FPC"
"01-01-2012",6,2950.0,2013.1999999999996,"FPC"
"01-01-2012",7,3128.0,2065.1890000000003,"FPC"
"01-01-2012",8,3431.0,2198.7260000000006,"FPC"
"01-01-2012",9,3644.0,2342.4999999999995,"FPC"
"01-01-2012",10,3806.0,2470.5999999999995,"FPC"
"01-01-2012",11,3906.0,2563.5,"FPC"
"01-01-2012",12,4075.0,2753.502000000001,"FPC"
"01-01-2012",13,4088.0,2865.899999999999,"FPC"
"01-01-2012",14,4062.0,2840.7999999999997,"FPC"
"01-01-2012",15,4010.0,2803.8999999999996,"FPC"
"01-01-2012",16,4088.0,2824.2019999999998,"FPC"
"01-01-2012",17,4261.0,2922.0000000000005,"FPC"
"01-01-2012",18,4641.0,3262.1999999999994,"FPC"
"01-01-2012",19,4446.0,3171.000000000001,"FPC"
"01-01-2012",20,4176.0,2956.9000000000005,"FPC"
"01-01-2012",21,4033.0,2882.3999999999996,"FPC"
"01-01-2012",22,3739.0,2649.7000000000003,"FPC"
"01-01-2012",23,3328.0,2439.1000000000004,"FPC"
"01-02-2012",0,3009.0,2177.6000000000004,"FPC"
"01-02-2012",1,2867.0,2111.2999999999997,"FPC"
"01-02-2012",2,2706.0,1966.9,"FPC"
"01-02-2012",3,2699.0,1956.1000000000001,"FPC"
"01-02-2012",4,2698.0,1957.0639999999999,"FPC"
"01-02-2012",5,2839.0,2014.844,"FPC"
"01-02-2012",6,3038.0,2092.3559999999998,"FPC"
"01-02-2012",7,3349.0,2310.6599999999994,"FPC"
"01-02-2012",8,3609.0,2374.7720000000004,"FPC"
"01-02-2012",9,3973.0,2546.7000000000003,"FPC"
"01-02-2012",10,4138.0,2668.8,"FPC"
"01-02-2012",11,4172.0,2695.0000000000005,"FPC"
"01-02-2012",12,4184.0,2731.846,"FPC"
"01-02-2012",13,4036.0,2673.862000000001,"FPC"
"01-02-2012",14,3979.0,2671.1999999999994,"FPC"
"01-02-2012",15,3998.0,2630.2,"FPC"
"01-02-2012",16,4127.0,2692.8250000000003,"FPC"
"01-02-2012",17,4616.0,2903.4000000000005,"FPC"
"01-02-2012",18,5153.0,3186.0,"FPC"
"01-02-2012",19,5154.0,3243.556,"FPC"
"01-02-2012",20,5079.0,3208.4000000000005,"FPC"
"01-02-2012",21,4949.0,3134.2000000000003,"FPC"
"01-02-2012",22,4552.0,2898.9939999999997,"FPC"
"01-02-2012",23,4126.0,2718.2000000000007,"FPC"
"01-03-2012",0,4027.0,2664.6,"FPC"
"01-03-2012",1,3969.0,2616.9500000000003,"FPC"
"01-03-2012",2,3867.0,2578.000000000001,"FPC"
"01-03-2012",3,4011.0,2651.3,"FPC"
"01-03-2012",4,4304.0,2754.7,"FPC"
"01-03-2012",5,4763.0,2990.3370000000014,"FPC"
"01-03-2012",6,5545.0,3481.9999999999995,"FPC"
"01-03-2012",7,6286.0,3921.2099999999996,"FPC"
"01-03-2012",8,6385.0,3954.679,"FPC"
"01-03-2012",9,6386.0,3945.6060000000007,"FPC"
"01-03-2012",10,6227.0,3794.604,"FPC"
"01-03-2012",11,5861.0,3571.0,"FPC"
"01-03-2012",12,5552.0,3395.4159999999997,"FPC"
"01-03-2012",13,5367.0,3359.581,"FPC"
"01-03-2012",14,5137.0,3311.8390000000004,"FPC"
"01-03-2012",15,4999.0,3332.0999999999995,"FPC"
"01-03-2012",16,5131.0,3518.7039999999993,"FPC"
"01-03-2012",17,5890.0,3846.881,"FPC"
"01-03-2012",18,6925.0,4492.098999999999,"FPC"
"01-03-2012",19,7091.0,4657.659,"FPC"
"01-03-2012",20,7330.0,4815.255999999999,"FPC"
"01-03-2012",21,7319.0,4801.357,"FPC"
"01-03-2012",22,6955.0,4555.619999999999,"FPC"
"01-03-2012",23,6370.0,4306.1990000000005,"FPC"
"01-04-2012",0,6038.0,4214.599000000001,"FPC"
"01-04-2012",1,6081.0,4220.3009999999995,"FPC"
"01-04-2012",2,6249.0,4446.7,"FPC"
"01-04-2012",3,6412.0,4537.900000000001,"FPC"
"01-04-2012",4,6659.0,4624.4,"FPC"
"01-04-2012",5,6887.0,4718.923,"FPC"
"01-04-2012",6,7687.0,5140.402999999999,"FPC"
"01-04-2012",7,7917.0,5303.753999999998,"FPC"
"01-04-2012",8,7685.0,5054.989,"FPC"
"01-04-2012",9,7000.0,4662.1,"FPC"
"01-04-2012",10,6556.0,4396.401,"FPC"
"01-04-2012",11,5891.0,3832.325,"FPC"
"01-04-2012",12,5365.0,3424.2110000000002,"FPC"
"01-04-2012",13,4900.0,3419.501,"FPC"
"01-04-2012",14,4579.0,3277.0429999999988,"FPC"
"01-04-2012",15,4439.0,3214.258,"FPC"
"01-04-2012",16,4544.0,3251.414999999999,"FPC"
"01-04-2012",17,5104.0,3516.7020000000007,"FPC"
"01-04-2012",18,6175.0,4154.099000000001,"FPC"
"01-04-2012",19,6480.0,4341.001,"FPC"
"01-04-2012",20,6666.0,4461.599999999999,"FPC"
"01-04-2012",21,6724.0,4512.299000000002,"FPC"
"01-04-2012",22,6426.0,4268.192999999999,"FPC"
"01-04-2012",23,6098.0,4018.299,"FPC"
"01-05-2012",0,6076.0,3966.399999999999,"FPC"
"01-05-2012",1,6086.0,3971.9,"FPC"
"01-05-2012",2,6148.0,4065.8999999999987,"FPC"
"01-05-2012",3,6266.0,4141.799999999999,"FPC"
"01-05-2012",4,6469.0,4266.1990000000005,"FPC"
"01-05-2012",5,7512.0,4944.513999999999,"FPC"
"01-05-2012",6,7965.0,5434.0599999999995,"FPC"
"01-05-2012",7,7864.0,5127.735000000001,"FPC"
"01-05-2012",8,7600.0,4925.053,"FPC"
"01-05-2012",9,6691.0,3718.486,"FPC"
"01-05-2012",10,5201.0,3183.300000000001,"FPC"
"01-05-2012",11,4924.0,3000.6490000000013,"FPC"
"01-05-2012",12,4851.0,2891.694000000001,"FPC"
"01-05-2012",13,4458.0,2611.801,"FPC"
"01-05-2012",14,4237.0,2484.9850000000006,"FPC"
"01-05-2012",15,4165.0,2453.735,"FPC"
"01-05-2012",16,4182.0,2465.474,"FPC"
"01-05-2012",17,4551.0,2678.8,"FPC"
"01-05-2012",18,5230.0,3146.2,"FPC"
"01-05-2012",19,5180.0,3123.4999999999995,"FPC"
"01-05-2012",20,5112.0,3074.1000000000004,"FPC"
"01-05-2012",21,4933.0,2955.2000000000003,"FPC"
"01-05-2012",22,4640.0,2757.723,"FPC"
"01-05-2012",23,4220.0,2550.9000000000005,"FPC"
"01-06-2012",0,4043.0,2442.4000000000005,"FPC"
"01-06-2012",1,3951.0,2401.5000000000005,"FPC"
"01-06-2012",2,3943.0,2405.3999999999996,"FPC"
"01-06-2012",3,3977.0,2420.5000000000005,"FPC"
"01-06-2012",4,4176.0,2506.4999999999995,"FPC"
"01-06-2012",5,4626.0,2786.9,"FPC"
"01-06-2012",6,5091.0,3089.9449999999997,"FPC"
"01-06-2012",7,5627.0,3434.761,"FPC"
"01-06-2012",8,5478.0,3362.006,"FPC"
"01-06-2012",9,5120.0,3081.2000000000003,"FPC"
"01-06-2012",10,4766.0,2790.611999999999,"FPC"
"01-06-2012",11,4485.0,2605.7320000000004,"FPC"
"01-06-2012",12,4358.0,2556.6749999999993,"FPC"
"01-06-2012",13,4338.0,2595.1619999999994,"FPC"
"01-06-2012",14,4292.0,2516.04,"FPC"
"01-06-2012",15,4240.0,2481.1099999999997,"FPC"
"01-06-2012",16,4292.0,2508.52,"FPC"
"01-06-2012",17,4478.0,2606.7000000000003,"FPC"
"01-06-2012",18,4829.0,2837.932,"FPC"
"01-06-2012",19,4667.0,2740.2000000000003,"FPC"
"01-06-2012",20,4556.0,2697.2,"FPC"
"01-06-2012",21,4462.0,2658.9089999999997,"FPC"
"01-06-2012",22,4210.0,2546.9899999999993,"FPC"
"01-06-2012",23,3953.0,2437.1099999999997,"FPC"
"01-07-2012",0,3650.0,2279.9000000000005,"FPC"
"01-07-2012",1,3579.0,2178.7259999999997,"FPC"
"01-07-2012",2,3529.0,2170.3999999999996,"FPC"
"01-07-2012",3,3548.0,2183.4999999999995,"FPC"
"01-07-2012",4,3681.0,2282.5,"FPC"
"01-07-2012",5,3823.0,2408.7999999999997,"FPC"
"01-07-2012",6,4076.0,2508.7349999999997,"FPC"
"01-07-2012",7,4459.0,2704.813,"FPC"
"01-07-2012",8,4668.0,2805.350000000001,"FPC"
"01-07-2012",9,4691.0,2816.9,"FPC"
"01-07-2012",10,4507.0,2698.7,"FPC"
"01-07-2012",11,4430.0,2651.3000000000006,"FPC"
"01-07-2012",12,4300.0,2577.6160000000004,"FPC"
"01-07-2012",13,4134.0,2513.2000000000003,"FPC"
"01-07-2012",14,4024.0,2457.4000000000005,"FPC"
"01-07-2012",15,3962.0,2436.6999999999994,"FPC"
"01-07-2012",16,4015.0,2460.157999999999,"FPC"
"01-07-2012",17,4245.0,2584.2999999999997,"FPC"
"01-07-2012",18,4575.0,2865.5000000000005,"FPC"
"01-07-2012",19,4438.0,2749.9000000000005,"FPC"
"01-07-2012",20,4285.0,2648.4,"FPC"
"01-07-2012",21,4204.0,2576.5000000000005,"FPC"
"01-07-2012",22,3957.0,2410.9260000000004,"FPC"
"01-07-2012",23,3564.0,2234.7,"FPC"
"01-08-2012",0,3349.0,2116.9,"FPC"
"01-08-2012",1,3254.0,2049.1180000000004,"FPC"
"01-08-2012",2,3148.0,2012.5999999999995,"FPC"
"01-08-2012",3,3183.0,2025.9999999999995,"FPC"
"01-08-2012",4,3254.0,2067.9,"FPC"
"01-08-2012",5,3374.0,2119.1000000000004,"FPC"
"01-08-2012",6,3674.0,2261.7149999999997,"FPC"
"01-08-2012",7,4130.0,2561.689,"FPC"
"01-08-2012",8,4487.0,2764.2,"FPC"
"01-08-2012",9,4380.0,2653.2000000000007,"FPC"
"01-08-2012",10,4214.0,2530.4,"FPC"
"01-08-2012",11,4116.0,2486.5,"FPC"
"01-08-2012",12,4216.0,2600.5759999999996,"FPC"
"01-08-2012",13,4078.0,2572.8999999999996,"FPC"
"01-08-2012",14,4025.0,2534.4,"FPC"
"01-08-2012",15,4030.0,2543.4000000000005,"FPC"
"01-08-2012",16,4156.0,2563.362,"FPC"
"01-08-2012",17,4356.0,2682.6999999999994,"FPC"
"01-08-2012",18,4766.0,3054.4000000000005,"FPC"
"01-08-2012",19,4596.0,2973.2000000000003,"FPC"
"01-08-2012",20,4423.0,2865.3,"FPC"
"01-08-2012",21,4251.0,2707.1000000000004,"FPC"
"01-08-2012",22,3803.0,2361.4240000000004,"FPC"
"01-08-2012",23,3300.0,2100.0,"FPC"
"01-09-2012",0,3040.0,1970.2999999999995,"FPC"
"01-09-2012",1,2896.0,1900.6999999999996,"FPC"
"01-09-2012",2,2842.0,1888.5000000000005,"FPC"
"01-09-2012",3,2859.0,1895.6999999999998,"FPC"
"01-09-2012",4,2970.0,1943.2999999999997,"FPC"
"01-09-2012",5,3280.0,2111.8000000000006,"FPC"
"01-09-2012",6,4096.0,2728.094,"FPC"
"01-09-2012",7,4598.0,3005.104,"FPC"
"01-09-2012",8,4454.0,2778.4939999999992,"FPC"
"01-09-2012",9,4285.0,2647.8999999999996,"FPC"
"01-09-2012",10,4217.0,2605.1,"FPC"
"01-09-2012",11,4221.0,2586.4,"FPC"
"01-09-2012",12,4219.0,2639.3599999999997,"FPC"
"01-09-2012",13,4215.0,2679.6000000000004,"FPC"
"01-09-2012",14,4210.0,2656.0,"FPC"
"01-09-2012",15,4169.0,2639.4,"FPC"
"01-09-2012",16,4212.0,2648.7549999999997,"FPC"
"01-09-2012",17,4428.0,2742.5999999999995,"FPC"
"01-09-2012",18,4876.0,3111.585,"FPC"
"01-09-2012",19,4977.0,3262.88,"FPC"
"01-09-2012",20,4624.0,3077.7,"FPC"
"01-09-2012",21,4410.0,2912.595,"FPC"
"01-09-2012",22,3900.0,2536.076,"FPC"
"01-09-2012",23,3331.0,2202.7999999999997,"FPC"
"01-10-2012",0,2982.0,1970.3999999999999,"FPC"
"01-10-2012",1,2764.0,1831.5,"FPC"
"01-10-2012",2,2687.0,1794.1999999999998,"FPC"
"01-10-2012",3,2672.0,1799.8300000000002,"FPC"
"01-10-2012",4,2761.0,1856.0999999999997,"FPC"
"01-10-2012",5,2943.0,1921.6580000000001,"FPC"
"01-10-2012",6,3623.0,2345.794,"FPC"
"01-10-2012",7,4161.0,2605.9,"FPC"
"01-10-2012",8,4078.0,2428.1279999999997,"FPC"
"01-10-2012",9,4046.0,2390.9,"FPC"
"01-10-2012",10,4136.0,2490.1,"FPC"
"01-10-2012",11,4153.0,2534.2000000000003,"FPC"
"01-10-2012",12,4308.0,2676.677,"FPC"
"01-10-2012",13,4292.0,2738.5309999999995,"FPC"
"01-10-2012",14,4282.0,2728.2760000000007,"FPC"
"01-10-2012",15,4268.0,2714.3590000000004,"FPC"
"01-10-2012",16,4299.0,2703.6650000000004,"FPC"
"01-10-2012",17,4539.0,2867.870000000001,"FPC"
"01-10-2012",18,4923.0,3219.4999999999995,"FPC"
"01-10-2012",19,4784.0,3164.9,"FPC"
"01-10-2012",20,4523.0,2976.1999999999994,"FPC"
"01-10-2012",21,4159.0,2721.2,"FPC"
"01-10-2012",22,3698.0,2382.398,"FPC"
"01-10-2012",23,3129.0,2044.2,"FPC"
"01-11-2012",0,2776.0,1880.4000000000003,"FPC"
"01-11-2012",1,2639.0,1816.2,"FPC"
"01-11-2012",2,2562.0,1794.1999999999998,"FPC"
"01-11-2012",3,2560.0,1794.0000000000002,"FPC"
"01-11-2012",4,2605.0,1825.1999999999998,"FPC"
"01-11-2012",5,2818.0,1897.6,"FPC"
"01-11-2012",6,3350.0,2124.868,"FPC"
"01-11-2012",7,3819.0,2365.757,"FPC"
"01-11-2012",8,3848.0,2368.2999999999997,"FPC"
"01-11-2012",9,3962.0,2454.0239999999994,"FPC"
"01-11-2012",10,4159.0,2673.4599999999996,"FPC"
"01-11-2012",11,4231.0,2753.472,"FPC"
"01-11-2012",12,4222.0,2711.0520000000006,"FPC"
"01-11-2012",13,4113.0,2685.6190000000006,"FPC"
"01-11-2012",14,4054.0,2666.575,"FPC"
"01-11-2012",15,4057.0,2587.3400000000006,"FPC"
"01-11-2012",16,4148.0,2559.975,"FPC"
"01-11-2012",17,4411.0,2733.2,"FPC"
"01-11-2012",18,4794.0,3090.6,"FPC"
"01-11-2012",19,4632.0,2997.7999999999997,"FPC"
"01-11-2012",20,4421.0,2818.0999999999995,"FPC"
"01-11-2012",21,4146.0,2561.5000000000005,"FPC"
"01-11-2012",22,3725.0,2309.496,"FPC"
"01-11-2012",23,3236.0,2056.1,"FPC"
"01-12-2012",0,2936.0,1918.5000000000002,"FPC"
"01-12-2012",1,2772.0,1860.0000000000005,"FPC"
"01-12-2012",2,2694.0,1824.7000000000003,"FPC"
"01-12-2012",3,2708.0,1829.0000000000002,"FPC"
"01-12-2012",4,2778.0,1857.0,"FPC"
"01-12-2012",5,3063.0,1958.3,"FPC"
"01-12-2012",6,3665.0,2228.241,"FPC"
"01-12-2012",7,4111.0,2481.3699999999994,"FPC"
"01-12-2012",8,4113.0,2432.8000000000006,"FPC"
"01-12-2012",9,4042.0,2450.9,"FPC"
"01-12-2012",10,4026.0,2430.7,"FPC"
"01-12-2012",11,4097.0,2485.6,"FPC"
"01-12-2012",12,4210.0,2608.634,"FPC"
"01-12-2012",13,4161.0,2668.5,"FPC"
"01-12-2012",14,4198.0,2691.6499999999996,"FPC"
"01-12-2012",15,4232.0,2644.1400000000003,"FPC"
"01-12-2012",16,4238.0,2613.0019999999995,"FPC"
"01-12-2012",17,4353.0,2672.3000000000006,"FPC"
"01-12-2012",18,4763.0,3027.0000000000005,"FPC"
"01-12-2012",19,4722.0,3002.5,"FPC"
"01-12-2012",20,4496.0,2845.7000000000003,"FPC"
"01-12-2012",21,4236.0,2648.2999999999997,"FPC"
"01-12-2012",22,3800.0,2353.7339999999995,"FPC"
"01-12-2012",23,3306.0,2060.8,"FPC"
"01-13-2012",0,2948.0,1899.2,"FPC"
"01-13-2012",1,2749.0,1827.4999999999995,"FPC"
"01-13-2012",2,2687.0,1809.0000000000002,"FPC"
"01-13-2012",3,2667.0,1803.3999999999999,"FPC"
"01-13-2012",4,2715.0,1802.5860000000002,"FPC"
"01-13-2012",5,3001.0,1897.8519999999996,"FPC"
"01-13-2012",6,3605.0,2183.2,"FPC"
"01-13-2012",7,4332.0,2552.6090000000004,"FPC"
"01-13-2012",8,4319.0,2518.9999999999995,"FPC"
"01-13-2012",9,4425.0,2657.1020000000003,"FPC"
"01-13-2012",10,4450.0,2726.1119999999996,"FPC"
"01-13-2012",11,4341.0,2621.7999999999997,"FPC"
"01-13-2012",12,4299.0,2576.1929999999998,"FPC"
"01-13-2012",13,4092.0,2459.86,"FPC"
"01-13-2012",14,3990.0,2405.618000000001,"FPC"
"01-13-2012",15,3982.0,2374.0170000000003,"FPC"
"01-13-2012",16,4142.0,2425.334,"FPC"
"01-13-2012",17,4595.0,2679.064,"FPC"
"01-13-2012",18,4887.0,2893.7000000000003,"FPC"
"01-13-2012",19,4862.0,2901.400000000001,"FPC"
"01-13-2012",20,4914.0,2936.3,"FPC"
"01-13-2012",21,4899.0,2944.2,"FPC"
"01-13-2012",22,4677.0,2793.454,"FPC"
"01-13-2012",23,4251.0,2569.7000000000003,"FPC"
"01-14-2012",0,3959.0,2399.9,"FPC"
"01-14-2012",1,3737.0,2295.3000000000006,"FPC"
"01-14-2012",2,3794.0,2334.1,"FPC"
"01-14-2012",3,3854.0,2384.3999999999996,"FPC"
"01-14-2012",4,3930.0,2400.0999999999995,"FPC"
"01-14-2012",5,3963.0,2417.0249999999996,"FPC"
"01-14-2012",6,4270.0,2532.5,"FPC"
"01-14-2012",7,4915.0,2876.8120000000004,"FPC"
"01-14-2012",8,5420.0,3223.4,"FPC"
"01-14-2012",9,5355.0,3174.8000000000006,"FPC"
"01-14-2012",10,5262.0,3081.084999999999,"FPC"
"01-14-2012",11,5141.0,2980.1000000000004,"FPC"
"01-14-2012",12,4859.0,2735.1600000000003,"FPC"
"01-14-2012",13,4484.0,2570.7000000000003,"FPC"
"01-14-2012",14,4307.0,2481.8,"FPC"
"01-14-2012",15,4300.0,2502.512,"FPC"
"01-14-2012",16,4484.0,2579.8689999999992,"FPC"
"01-14-2012",17,4761.0,2758.4,"FPC"
"01-14-2012",18,5212.0,3099.0999999999995,"FPC"
"01-14-2012",19,5168.0,3128.482000000001,"FPC"
"01-14-2012",20,5424.0,3370.5000000000005,"FPC"
"01-14-2012",21,5565.0,3478.0,"FPC"
"01-14-2012",22,5424.0,3391.485,"FPC"
"01-14-2012",23,5093.0,3241.599999999999,"FPC"
"01-15-2012",0,4883.0,3074.7000000000003,"FPC"
"01-15-2012",1,4863.0,3065.100000000001,"FPC"
"01-15-2012",2,4911.0,3078.6,"FPC"
"01-15-2012",3,5098.0,3207.7000000000007,"FPC"
"01-15-2012",4,5333.0,3340.6999999999994,"FPC"
"01-15-2012",5,5558.0,3479.149999999999,"FPC"
"01-15-2012",6,5937.0,3677.268000000001,"FPC"
"01-15-2012",7,6481.0,4065.087,"FPC"
"01-15-2012",8,6591.0,4107.9,"FPC"
"01-15-2012",9,5841.0,3398.005,"FPC"
"01-15-2012",10,5155.0,2951.228,"FPC"
"01-15-2012",11,4729.0,2623.0999999999995,"FPC"
"01-15-2012",12,4349.0,2421.021,"FPC"
"01-15-2012",13,4047.0,2294.9999999999995,"FPC"
"01-15-2012",14,3840.0,2206.7999999999997,"FPC"
"01-15-2012",15,3734.0,2168.8,"FPC"
"01-15-2012",16,3780.0,2199.9829999999997,"FPC"
"01-15-2012",17,4007.0,2290.000000000001,"FPC"
"01-15-2012",18,4476.0,2591.8999999999996,"FPC"
"01-15-2012",19,4409.0,2557.7000000000003,"FPC"
"01-15-2012",20,4440.0,2595.8,"FPC"
"01-15-2012",21,4452.0,2602.5000000000005,"FPC"
"01-15-2012",22,4318.0,2479.725999999999,"FPC"
"01-15-2012",23,3953.0,2317.2,"FPC"
"01-16-2012",0,3750.0,2255.7000000000003,"FPC"
"01-16-2012",1,3767.0,2268.6000000000004,"FPC"
"01-16-2012",2,3817.0,2311.7999999999997,"FPC"
"01-16-2012",3,3921.0,2368.9999999999995,"FPC"
"01-16-2012",4,4150.0,2442.2000000000003,"FPC"
"01-16-2012",5,4389.0,2608.7750000000005,"FPC"
"01-16-2012",6,4818.0,2909.9999999999995,"FPC"
"01-16-2012",7,5450.0,3287.4069999999997,"FPC"
"01-16-2012",8,5458.0,3261.7,"FPC"
"01-16-2012",9,5033.0,2988.3,"FPC"
"01-16-2012",10,4691.0,2696.6419999999994,"FPC"
"01-16-2012",11,4422.0,2529.0999999999995,"FPC"
"01-16-2012",12,4391.0,2528.0130000000004,"FPC"
"01-16-2012",13,4314.0,2531.982,"FPC"
"01-16-2012",14,4196.0,2435.3,"FPC"
"01-16-2012",15,4042.0,2362.12,"FPC"
"01-16-2012",16,4108.0,2355.772000000001,"FPC"
"01-16-2012",17,4393.0,2586.6980000000003,"FPC"
"01-16-2012",18,4949.0,3066.356,"FPC"
"01-16-2012",19,4892.0,3031.0999999999995,"FPC"
"01-16-2012",20,4662.0,2874.215,"FPC"
"01-16-2012",21,4477.0,2658.808,"FPC"
"01-16-2012",22,4040.0,2419.8700000000003,"FPC"
"01-16-2012",23,3537.0,2134.9,"FPC"
"01-17-2012",0,3280.0,2004.4,"FPC"
"01-17-2012",1,3173.0,1963.4000000000005,"FPC"
"01-17-2012",2,3190.0,1970.3000000000002,"FPC"
"01-17-2012",3,3261.0,2027.1550000000002,"FPC"
"01-17-2012",4,3439.0,2095.3999999999996,"FPC"
"01-17-2012",5,3862.0,2344.54,"FPC"
"01-17-2012",6,4519.0,2747.6999999999994,"FPC"
"01-17-2012",7,5066.0,3103.283,"FPC"
"01-17-2012",8,4707.0,2747.98,"FPC"
"01-17-2012",9,4416.0,2492.0499999999997,"FPC"
"01-17-2012",10,4211.0,2412.7,"FPC"
"01-17-2012",11,4132.0,2394.200000000001,"FPC"
"01-17-2012",12,4099.0,2349.238,"FPC"
"01-17-2012",13,3985.0,2328.5,"FPC"
"01-17-2012",14,3930.0,2299.5000000000005,"FPC"
"01-17-2012",15,3937.0,2292.2,"FPC"
"01-17-2012",16,4094.0,2364.571,"FPC"
"01-17-2012",17,4336.0,2534.7000000000003,"FPC"
"01-17-2012",18,4813.0,2980.2,"FPC"
"01-17-2012",19,4744.0,2957.0,"FPC"
"01-17-2012",20,4483.0,2755.7,"FPC"
"01-17-2012",21,4217.0,2602.7000000000003,"FPC"
"01-17-2012",22,3811.0,2317.6780000000003,"FPC"
"01-17-2012",23,3281.0,2079.7000000000003,"FPC"
"01-18-2012",0,2872.0,1850.7,"FPC"
"01-18-2012",1,2703.0,1771.4,"FPC"
"01-18-2012",2,2651.0,1755.1999999999996,"FPC"
"01-18-2012",3,2709.0,1780.7,"FPC"
"01-18-2012",4,2805.0,1825.3000000000002,"FPC"
"01-18-2012",5,3045.0,1952.4680000000003,"FPC"
"01-18-2012",6,3812.0,2515.396,"FPC"
"01-18-2012",7,4293.0,2757.298,"FPC"
"01-18-2012",8,4199.0,2560.9000000000005,"FPC"
"01-18-2012",9,4131.0,2405.0,"FPC"
"01-18-2012",10,4072.0,2350.1240000000003,"FPC"
"01-18-2012",11,3998.0,2284.757,"FPC"
"01-18-2012",12,3974.0,2268.8279999999995,"FPC"
"01-18-2012",13,3935.0,2265.66,"FPC"
"01-18-2012",14,3967.0,2302.4399999999996,"FPC"
"01-18-2012",15,3923.0,2278.9999999999995,"FPC"
"01-18-2012",16,4069.0,2398.02,"FPC"
"01-18-2012",17,4424.0,2671.8,"FPC"
"01-18-2012",18,4736.0,3026.894000000001,"FPC"
"01-18-2012",19,4601.0,2987.2350000000006,"FPC"
"01-18-2012",20,4335.0,2718.3999999999996,"FPC"
"01-18-2012",21,4084.0,2490.9979999999996,"FPC"
"01-18-2012",22,3662.0,2186.2729999999997,"FPC"
"01-18-2012",23,3112.0,1900.0999999999997,"FPC"
"01-19-2012",0,2773.0,1643.594,"FPC"
"01-19-2012",1,2602.0,1559.0,"FPC"
"01-19-2012",2,2596.0,1543.7999999999997,"FPC"
"01-19-2012",3,2671.0,1566.5000000000002,"FPC"
"01-19-2012",4,2797.0,1634.2000000000003,"FPC"
"01-19-2012",5,3097.0,1876.1430000000005,"FPC"
"01-19-2012",6,3954.0,2333.17,"FPC"
"01-19-2012",7,4514.0,2712.9860000000003,"FPC"
"01-19-2012",8,4475.0,2624.1799999999994,"FPC"
"01-19-2012",9,4198.0,2465.1919999999996,"FPC"
"01-19-2012",10,4034.0,2362.5160000000005,"FPC"
"01-19-2012",11,3860.0,2212.1000000000004,"FPC"
"01-19-2012",12,3931.0,2230.1569999999997,"FPC"
"01-19-2012",13,3807.0,2236.2260000000006,"FPC"
"01-19-2012",14,3718.0,2228.6,"FPC"
"01-19-2012",15,3714.0,2241.3,"FPC"
"01-19-2012",16,3773.0,2219.3520000000003,"FPC"
"01-19-2012",17,4071.0,2433.2099999999996,"FPC"
"01-19-2012",18,4473.0,2842.6380000000004,"FPC"
"01-19-2012",19,4528.0,2933.8000000000006,"FPC"
"01-19-2012",20,4383.0,2818.3,"FPC"
"01-19-2012",21,4269.0,2703.8,"FPC"
"01-19-2012",22,4012.0,2502.0969999999998,"FPC"
"01-19-2012",23,3644.0,2260.8,"FPC"
"01-20-2012",0,3393.0,2103.005,"FPC"
"01-20-2012",1,3376.0,2114.5000000000005,"FPC"
"01-20-2012",2,3332.0,2067.3999999999996,"FPC"
"01-20-2012",3,3449.0,2106.4,"FPC"
"01-20-2012",4,3698.0,2317.5999999999995,"FPC"
"01-20-2012",5,4204.0,2646.32,"FPC"
"01-20-2012",6,4538.0,2842.718,"FPC"
"01-20-2012",7,4729.0,2923.600999999999,"FPC"
"01-20-2012",8,4674.0,2861.7000000000007,"FPC"
"01-20-2012",9,4582.0,2815.2999999999997,"FPC"
"01-20-2012",10,4593.0,2801.9,"FPC"
"01-20-2012",11,4296.0,2569.3999999999996,"FPC"
"01-20-2012",12,4108.0,2431.4199999999996,"FPC"
"01-20-2012",13,3931.0,2341.1,"FPC"
"01-20-2012",14,3879.0,2318.7000000000003,"FPC"
"01-20-2012",15,3785.0,2268.2,"FPC"
"01-20-2012",16,3926.0,2354.6530000000002,"FPC"
"01-20-2012",17,4095.0,2550.6999999999994,"FPC"
"01-20-2012",18,4488.0,2798.2,"FPC"
"01-20-2012",19,4356.0,2731.0,"FPC"
"01-20-2012",20,4158.0,2511.9999999999995,"FPC"
"01-20-2012",21,3969.0,2396.5509999999995,"FPC"
"01-20-2012",22,3612.0,2148.7050000000004,"FPC"
"01-20-2012",23,3156.0,1968.4,"FPC"
"01-21-2012",0,2863.0,1832.4,"FPC"
"01-21-2012",1,2802.0,1806.1000000000004,"FPC"
"01-21-2012",2,2722.0,1779.0,"FPC"
"01-21-2012",3,2683.0,1754.8000000000002,"FPC"
"01-21-2012",4,2755.0,1790.4,"FPC"
"01-21-2012",5,2837.0,1827.4110000000005,"FPC"
"01-21-2012",6,3086.0,1907.3000000000004,"FPC"
"01-21-2012",7,3497.0,2040.007,"FPC"
"01-21-2012",8,3849.0,2230.8340000000003,"FPC"
"01-21-2012",9,3957.0,2311.2999999999997,"FPC"
