"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,1510.0,1680.7,"AECI"
"01-01-2010",1,1491.0,1658.7,"AECI"
"01-01-2010",2,1475.0,1637.4,"AECI"
"01-01-2010",3,1540.0,1704.8999999999999,"AECI"
"01-01-2010",4,1543.0,1708.8,"AECI"
"01-01-2010",5,1544.0,1705.0,"AECI"
"01-01-2010",6,1442.0,1606.5,"AECI"
"01-01-2010",7,1470.0,1618.3000000000002,"AECI"
"01-01-2010",8,1476.0,1651.1999999999998,"AECI"
"01-01-2010",9,1546.0,1727.1999999999998,"AECI"
"01-01-2010",10,1579.0,1765.5,"AECI"
"01-01-2010",11,1581.0,1762.2,"AECI"
"01-01-2010",12,1552.0,1727.4,"AECI"
"01-01-2010",13,1519.0,1695.8,"AECI"
"01-01-2010",14,1511.0,1703.3,"AECI"
"01-01-2010",15,1508.0,1697.0,"AECI"
"01-01-2010",16,1513.0,1700.5,"AECI"
"01-01-2010",17,1545.0,1739.7,"AECI"
"01-01-2010",18,1575.0,1768.8000000000002,"AECI"
"01-01-2010",19,1573.0,1768.7,"AECI"
"01-01-2010",20,1577.0,1779.0,"AECI"
"01-01-2010",21,1581.0,1784.3,"AECI"
"01-01-2010",22,1581.0,1783.1,"AECI"
"01-01-2010",23,1581.0,1790.1999999999998,"AECI"
"01-02-2010",0,1584.0,1776.1000000000001,"AECI"
"01-02-2010",1,1524.0,1708.8,"AECI"
"01-02-2010",2,1543.0,1722.7,"AECI"
"01-02-2010",3,1571.0,1756.5,"AECI"
"01-02-2010",4,1578.0,1755.5,"AECI"
"01-02-2010",5,1626.0,1822.5,"AECI"
"01-02-2010",6,1646.0,1855.3,"AECI"
"01-02-2010",7,1642.0,1833.0,"AECI"
"01-02-2010",8,1645.0,1835.0,"AECI"
"01-02-2010",9,1641.0,1837.8000000000002,"AECI"
"01-02-2010",10,1643.0,1820.6999999999998,"AECI"
"01-02-2010",11,1638.0,1801.8,"AECI"
"01-02-2010",12,1641.0,1809.0,"AECI"
"01-02-2010",13,1641.0,1820.6000000000001,"AECI"
"01-02-2010",14,1644.0,1819.6000000000001,"AECI"
"01-02-2010",15,1643.0,1816.0,"AECI"
"01-02-2010",16,1643.0,1811.3999999999999,"AECI"
"01-02-2010",17,1625.0,1797.2,"AECI"
"01-02-2010",18,1665.0,1834.3000000000002,"AECI"
"01-02-2010",19,1674.0,1845.9,"AECI"
"01-02-2010",20,1671.0,1842.0,"AECI"
"01-02-2010",21,1651.0,1809.6,"AECI"
"01-02-2010",22,1620.0,1772.9,"AECI"
"01-02-2010",23,1621.0,1767.8,"AECI"
"01-03-2010",0,1603.0,1757.7,"AECI"
"01-03-2010",1,1617.0,1765.2,"AECI"
"01-03-2010",2,1615.0,1760.8,"AECI"
"01-03-2010",3,1528.0,1662.1,"AECI"
"01-03-2010",4,1581.0,1717.3,"AECI"
"01-03-2010",5,1620.0,1769.0,"AECI"
"01-03-2010",6,1620.0,1771.0,"AECI"
"01-03-2010",7,1619.0,1753.6,"AECI"
"01-03-2010",8,1621.0,1779.6000000000001,"AECI"
"01-03-2010",9,1639.0,1803.2,"AECI"
"01-03-2010",10,1646.0,1809.7,"AECI"
"01-03-2010",11,1646.0,1815.4,"AECI"
"01-03-2010",12,1644.0,1800.8999999999999,"AECI"
"01-03-2010",13,1644.0,1807.3000000000002,"AECI"
"01-03-2010",14,1640.0,1817.4,"AECI"
"01-03-2010",15,1645.0,1823.7,"AECI"
"01-03-2010",16,1644.0,1821.0000000000002,"AECI"
"01-03-2010",17,1669.0,1849.9,"AECI"
"01-03-2010",18,1672.0,1851.3999999999999,"AECI"
"01-03-2010",19,1676.0,1857.6999999999998,"AECI"
"01-03-2010",20,1675.0,1851.5,"AECI"
"01-03-2010",21,1626.0,1806.8000000000002,"AECI"
"01-03-2010",22,1617.0,1810.8,"AECI"
"01-03-2010",23,1625.0,1829.5,"AECI"
"01-04-2010",0,1630.0,1830.8999999999996,"AECI"
"01-04-2010",1,1651.0,1851.2,"AECI"
"01-04-2010",2,1611.0,1813.2,"AECI"
"01-04-2010",3,1621.0,1825.6000000000001,"AECI"
"01-04-2010",4,1627.0,1823.7,"AECI"
"01-04-2010",5,1665.0,1879.4,"AECI"
"01-04-2010",6,1685.0,1883.3,"AECI"
"01-04-2010",7,1683.0,1881.5,"AECI"
"01-04-2010",8,1680.0,1890.0,"AECI"
"01-04-2010",9,1679.0,1897.5,"AECI"
"01-04-2010",10,1683.0,1883.7000000000003,"AECI"
"01-04-2010",11,1661.0,1870.3,"AECI"
"01-04-2010",12,1634.0,1815.5000000000002,"AECI"
"01-04-2010",13,1632.0,1851.6,"AECI"
"01-04-2010",14,1631.0,1847.5,"AECI"
"01-04-2010",15,1630.0,1847.6,"AECI"
"01-04-2010",16,1633.0,1839.1000000000001,"AECI"
"01-04-2010",17,1630.0,1842.8,"AECI"
"01-04-2010",18,1650.0,1868.8000000000002,"AECI"
"01-04-2010",19,1671.0,1889.4,"AECI"
"01-04-2010",20,1671.0,1882.1,"AECI"
"01-04-2010",21,1640.0,1845.6999999999998,"AECI"
"01-04-2010",22,1616.0,1790.5,"AECI"
"01-04-2010",23,1624.0,1795.6,"AECI"
"01-05-2010",0,1627.0,1804.0,"AECI"
"01-05-2010",1,1637.0,1818.5,"AECI"
"01-05-2010",2,1641.0,1814.5,"AECI"
"01-05-2010",3,1644.0,1816.7,"AECI"
"01-05-2010",4,1645.0,1825.4,"AECI"
"01-05-2010",5,1647.0,1844.2,"AECI"
"01-05-2010",6,1650.0,1836.5,"AECI"
"01-05-2010",7,1636.0,1806.3999999999999,"AECI"
"01-05-2010",8,1652.0,1828.1,"AECI"
"01-05-2010",9,1659.0,1839.3,"AECI"
"01-05-2010",10,1662.0,1811.6999999999998,"AECI"
"01-05-2010",11,1665.0,1836.7,"AECI"
"01-05-2010",12,1658.0,1816.9,"AECI"
"01-05-2010",13,1641.0,1798.6999999999998,"AECI"
"01-05-2010",14,1646.0,1818.2000000000003,"AECI"
"01-05-2010",15,1652.0,1822.3000000000002,"AECI"
"01-05-2010",16,1651.0,1824.5,"AECI"
"01-05-2010",17,1658.0,1831.1,"AECI"
"01-05-2010",18,1658.0,1834.4,"AECI"
"01-05-2010",19,1658.0,1827.5,"AECI"
"01-05-2010",20,1660.0,1830.5,"AECI"
"01-05-2010",21,1642.0,1810.6999999999998,"AECI"
"01-05-2010",22,1661.0,1824.8,"AECI"
"01-05-2010",23,1635.0,1793.8999999999999,"AECI"
"01-06-2010",0,1627.0,1788.5,"AECI"
"01-06-2010",1,1633.0,1797.7000000000003,"AECI"
"01-06-2010",2,1638.0,1793.7000000000003,"AECI"
"01-06-2010",3,1632.0,1779.4,"AECI"
"01-06-2010",4,1639.0,1785.9,"AECI"
"01-06-2010",5,1637.0,1785.1,"AECI"
"01-06-2010",6,1636.0,1789.8000000000002,"AECI"
"01-06-2010",7,1633.0,1769.4,"AECI"
"01-06-2010",8,1637.0,1784.6999999999998,"AECI"
"01-06-2010",9,1642.0,1799.6999999999998,"AECI"
"01-06-2010",10,1637.0,1787.0,"AECI"
"01-06-2010",11,1635.0,1778.0,"AECI"
"01-06-2010",12,1627.0,1770.3,"AECI"
"01-06-2010",13,1624.0,1766.8,"AECI"
"01-06-2010",14,1631.0,1774.1,"AECI"
"01-06-2010",15,1628.0,1782.6,"AECI"
"01-06-2010",16,1625.0,1772.1999999999998,"AECI"
"01-06-2010",17,1638.0,1782.9,"AECI"
"01-06-2010",18,1639.0,1780.3000000000002,"AECI"
"01-06-2010",19,1640.0,1783.7,"AECI"
"01-06-2010",20,1650.0,1795.9,"AECI"
"01-06-2010",21,1613.0,1758.8,"AECI"
"01-06-2010",22,1603.0,1750.4,"AECI"
"01-06-2010",23,1572.0,1721.8000000000002,"AECI"
"01-07-2010",0,1551.0,1689.0,"AECI"
"01-07-2010",1,1562.0,1708.8,"AECI"
"01-07-2010",2,1562.0,1702.9,"AECI"
"01-07-2010",3,1558.0,1703.3000000000002,"AECI"
"01-07-2010",4,1565.0,1714.9,"AECI"
"01-07-2010",5,1634.0,1793.6999999999998,"AECI"
"01-07-2010",6,1643.0,1794.6,"AECI"
"01-07-2010",7,1640.0,1778.1000000000001,"AECI"
"01-07-2010",8,1633.0,1781.8000000000002,"AECI"
"01-07-2010",9,1623.0,1751.0,"AECI"
"01-07-2010",10,1629.0,1761.3,"AECI"
"01-07-2010",11,1634.0,1794.5,"AECI"
"01-07-2010",12,1641.0,1797.3999999999999,"AECI"
"01-07-2010",13,1633.0,1790.8,"AECI"
"01-07-2010",14,1630.0,1791.8999999999999,"AECI"
"01-07-2010",15,1632.0,1797.4,"AECI"
"01-07-2010",16,1645.0,1815.8000000000002,"AECI"
"01-07-2010",17,1644.0,1820.1,"AECI"
"01-07-2010",18,1656.0,1826.6,"AECI"
"01-07-2010",19,1670.0,1838.7,"AECI"
"01-07-2010",20,1667.0,1840.4,"AECI"
"01-07-2010",21,1667.0,1840.0,"AECI"
"01-07-2010",22,1671.0,1849.7,"AECI"
"01-07-2010",23,1665.0,1841.2000000000003,"AECI"
"01-08-2010",0,1647.0,1818.6,"AECI"
"01-08-2010",1,1647.0,1823.0,"AECI"
"01-08-2010",2,1647.0,1817.6,"AECI"
"01-08-2010",3,1666.0,1842.0,"AECI"
"01-08-2010",4,1677.0,1858.2,"AECI"
"01-08-2010",5,1676.0,1866.4,"AECI"
"01-08-2010",6,1664.0,1842.4,"AECI"
"01-08-2010",7,1646.0,1813.2999999999997,"AECI"
"01-08-2010",8,1649.0,1838.2000000000003,"AECI"
"01-08-2010",9,1666.0,1848.6,"AECI"
"01-08-2010",10,1654.0,1837.3,"AECI"
"01-08-2010",11,1658.0,1829.6,"AECI"
"01-08-2010",12,1601.0,1818.1,"AECI"
"01-08-2010",13,1331.0,1558.6,"AECI"
"01-08-2010",14,1283.0,1522.2999999999997,"AECI"
"01-08-2010",15,1055.0,1176.6699999999998,"AECI"
"01-08-2010",16,957.0,1096.4,"AECI"
"01-08-2010",17,957.0,1101.5,"AECI"
"01-08-2010",18,957.0,1096.2,"AECI"
"01-08-2010",19,957.0,1098.5,"AECI"
"01-08-2010",20,955.0,1095.6000000000001,"AECI"
"01-08-2010",21,956.0,1090.0,"AECI"
"01-08-2010",22,956.0,1088.9,"AECI"
"01-08-2010",23,958.0,1091.6,"AECI"
"01-09-2010",0,955.0,1082.1999999999998,"AECI"
"01-09-2010",1,934.0,1068.8,"AECI"
"01-09-2010",2,933.0,1071.8,"AECI"
"01-09-2010",3,939.0,1078.1,"AECI"
"01-09-2010",4,937.0,1077.1,"AECI"
"01-09-2010",5,939.0,1083.5,"AECI"
"01-09-2010",6,941.0,1076.1,"AECI"
"01-09-2010",7,938.0,1069.3,"AECI"
"01-09-2010",8,938.0,1082.0,"AECI"
"01-09-2010",9,937.0,1071.2,"AECI"
"01-09-2010",10,930.0,1077.3,"AECI"
"01-09-2010",11,922.0,1062.6000000000001,"AECI"
"01-09-2010",12,916.0,1055.0,"AECI"
"01-09-2010",13,924.0,1062.9,"AECI"
"01-09-2010",14,930.0,1073.7,"AECI"
"01-09-2010",15,929.0,1091.6,"AECI"
"01-09-2010",16,938.0,1123.3999999999999,"AECI"
"01-09-2010",17,945.0,1134.0000000000002,"AECI"
"01-09-2010",18,936.0,1126.0,"AECI"
"01-09-2010",19,941.0,1118.1999999999998,"AECI"
"01-09-2010",20,934.0,1128.2000000000003,"AECI"
"01-09-2010",21,973.0,1179.8,"AECI"
"01-09-2010",22,1020.0,1242.5,"AECI"
"01-09-2010",23,1104.0,1310.7,"AECI"
"01-10-2010",0,1196.0,1381.1,"AECI"
"01-10-2010",1,1297.0,1488.5,"AECI"
"01-10-2010",2,1373.0,1562.8,"AECI"
"01-10-2010",3,1368.0,1543.1,"AECI"
"01-10-2010",4,1428.0,1602.8,"AECI"
"01-10-2010",5,1448.0,1631.2999999999997,"AECI"
"01-10-2010",6,1515.0,1679.1,"AECI"
"01-10-2010",7,1482.0,1634.7000000000003,"AECI"
"01-10-2010",8,1504.0,1663.8,"AECI"
"01-10-2010",9,1584.0,1729.5,"AECI"
"01-10-2010",10,1571.0,1709.6000000000001,"AECI"
"01-10-2010",11,1586.0,1740.1,"AECI"
"01-10-2010",12,1619.0,1762.0,"AECI"
"01-10-2010",13,1576.0,1722.8,"AECI"
"01-10-2010",14,1561.0,1707.7,"AECI"
"01-10-2010",15,1564.0,1725.2,"AECI"
"01-10-2010",16,1579.0,1735.0,"AECI"
"01-10-2010",17,1612.0,1773.7,"AECI"
"01-10-2010",18,1624.0,1789.1999999999998,"AECI"
"01-10-2010",19,1618.0,1785.1,"AECI"
"01-10-2010",20,1599.0,1759.8000000000002,"AECI"
"01-10-2010",21,1585.0,1738.8,"AECI"
"01-10-2010",22,1588.0,1729.6999999999998,"AECI"
"01-10-2010",23,1609.0,1752.3,"AECI"
"01-11-2010",0,1571.0,1708.6999999999998,"AECI"
"01-11-2010",1,1566.0,1703.1,"AECI"
"01-11-2010",2,1575.0,1714.4,"AECI"
"01-11-2010",3,1582.0,1716.1,"AECI"
"01-11-2010",4,1588.0,1719.1999999999998,"AECI"
"01-11-2010",5,1629.0,1765.3,"AECI"
"01-11-2010",6,1662.0,1805.6,"AECI"
"01-11-2010",7,1649.0,1776.9,"AECI"
"01-11-2010",8,1651.0,1804.0,"AECI"
"01-11-2010",9,1656.0,1785.1999999999998,"AECI"
"01-11-2010",10,1640.0,1790.1000000000001,"AECI"
"01-11-2010",11,1647.0,1807.2,"AECI"
"01-11-2010",12,1657.0,1819.2,"AECI"
"01-11-2010",13,1666.0,1835.8000000000002,"AECI"
"01-11-2010",14,1651.0,1811.3,"AECI"
"01-11-2010",15,1645.0,1799.4,"AECI"
"01-11-2010",16,1659.0,1828.0,"AECI"
"01-11-2010",17,1651.0,1825.7000000000003,"AECI"
"01-11-2010",18,1658.0,1830.2,"AECI"
"01-11-2010",19,1658.0,1834.3999999999999,"AECI"
"01-11-2010",20,1656.0,1829.7,"AECI"
"01-11-2010",21,1644.0,1807.1000000000001,"AECI"
"01-11-2010",22,1646.0,1809.1999999999998,"AECI"
"01-11-2010",23,1644.0,1814.6000000000001,"AECI"
"01-12-2010",0,1648.0,1815.1,"AECI"
"01-12-2010",1,1658.0,1833.5,"AECI"
"01-12-2010",2,1663.0,1832.1000000000001,"AECI"
"01-12-2010",3,1660.0,1824.8000000000002,"AECI"
"01-12-2010",4,1663.0,1836.1,"AECI"
"01-12-2010",5,1666.0,1834.2,"AECI"
"01-12-2010",6,1667.0,1839.3000000000002,"AECI"
"01-12-2010",7,1665.0,1823.9,"AECI"
"01-12-2010",8,1658.0,1828.6,"AECI"
"01-12-2010",9,1650.0,1816.4,"AECI"
"01-12-2010",10,1647.0,1815.3,"AECI"
"01-12-2010",11,1639.0,1809.5,"AECI"
"01-12-2010",12,1640.0,1803.0,"AECI"
"01-12-2010",13,1626.0,1790.7,"AECI"
"01-12-2010",14,1612.0,1779.3999999999999,"AECI"
"01-12-2010",15,1555.0,1704.9,"AECI"
"01-12-2010",16,1581.0,1744.1,"AECI"
"01-12-2010",17,1527.0,1676.5,"AECI"
"01-12-2010",18,1546.0,1693.8000000000002,"AECI"
"01-12-2010",19,1544.0,1692.3000000000002,"AECI"
"01-12-2010",20,1542.0,1687.6999999999998,"AECI"
"01-12-2010",21,1619.0,1762.3,"AECI"
"01-12-2010",22,1621.0,1761.1000000000001,"AECI"
"01-12-2010",23,1617.0,1758.0,"AECI"
"01-13-2010",0,1644.0,1786.2,"AECI"
"01-13-2010",1,1651.0,1785.5000000000002,"AECI"
"01-13-2010",2,1628.0,1758.5,"AECI"
"01-13-2010",3,1638.0,1763.8000000000002,"AECI"
"01-13-2010",4,1653.0,1782.5,"AECI"
"01-13-2010",5,1657.0,1791.2,"AECI"
"01-13-2010",6,1648.0,1776.8999999999999,"AECI"
"01-13-2010",7,1644.0,1767.0,"AECI"
"01-13-2010",8,1643.0,1765.2,"AECI"
"01-13-2010",9,1650.0,1772.5,"AECI"
"01-13-2010",10,1612.0,1718.4,"AECI"
"01-13-2010",11,1617.0,1733.3,"AECI"
"01-13-2010",12,1631.0,1748.9,"AECI"
"01-13-2010",13,1627.0,1737.1999999999998,"AECI"
"01-13-2010",14,1578.0,1694.8000000000002,"AECI"
"01-13-2010",15,1583.0,1693.1,"AECI"
"01-13-2010",16,1552.0,1659.1,"AECI"
"01-13-2010",17,1631.0,1747.9,"AECI"
"01-13-2010",18,1649.0,1768.8000000000002,"AECI"
"01-13-2010",19,1652.0,1761.9,"AECI"
"01-13-2010",20,1654.0,1762.7,"AECI"
"01-13-2010",21,1654.0,1762.5000000000002,"AECI"
"01-13-2010",22,1653.0,1776.0,"AECI"
"01-13-2010",23,1620.0,1738.2,"AECI"
"01-14-2010",0,1587.0,1704.1,"AECI"
"01-14-2010",1,1590.0,1694.0,"AECI"
"01-14-2010",2,1576.0,1682.8,"AECI"
"01-14-2010",3,1600.0,1708.8,"AECI"
"01-14-2010",4,1606.0,1724.2,"AECI"
"01-14-2010",5,1606.0,1723.0,"AECI"
"01-14-2010",6,1602.0,1718.2,"AECI"
"01-14-2010",7,1604.0,1701.7,"AECI"
"01-14-2010",8,1607.0,1723.8,"AECI"
"01-14-2010",9,1610.0,1735.4,"AECI"
"01-14-2010",10,1619.0,1748.7,"AECI"
"01-14-2010",11,1620.0,1756.9,"AECI"
"01-14-2010",12,1618.0,1761.5,"AECI"
"01-14-2010",13,1618.0,1754.8,"AECI"
"01-14-2010",14,1617.0,1758.0,"AECI"
"01-14-2010",15,1620.0,1763.1999999999998,"AECI"
"01-14-2010",16,1612.0,1765.8,"AECI"
"01-14-2010",17,1622.0,1776.1000000000001,"AECI"
"01-14-2010",18,1629.0,1775.6,"AECI"
"01-14-2010",19,1649.0,1803.1,"AECI"
"01-14-2010",20,1636.0,1794.1000000000001,"AECI"
"01-14-2010",21,1635.0,1786.6,"AECI"
"01-14-2010",22,1611.0,1763.7,"AECI"
"01-14-2010",23,1453.0,1585.5,"AECI"
"01-15-2010",0,1483.0,1619.4,"AECI"
"01-15-2010",1,1554.0,1706.1000000000001,"AECI"
"01-15-2010",2,1591.0,1750.5,"AECI"
"01-15-2010",3,1590.0,1744.0000000000002,"AECI"
"01-15-2010",4,1590.0,1753.5,"AECI"
"01-15-2010",5,1591.0,1755.9,"AECI"
"01-15-2010",6,1629.0,1791.3999999999999,"AECI"
"01-15-2010",7,1644.0,1793.2,"AECI"
"01-15-2010",8,1645.0,1825.2,"AECI"
"01-15-2010",9,1643.0,1775.5,"AECI"
"01-15-2010",10,1648.0,1831.6999999999998,"AECI"
"01-15-2010",11,1644.0,1835.2,"AECI"
"01-15-2010",12,1643.0,1826.4,"AECI"
"01-15-2010",13,1645.0,1818.7000000000003,"AECI"
"01-15-2010",14,1645.0,1809.5,"AECI"
"01-15-2010",15,1645.0,1832.5,"AECI"
"01-15-2010",16,1646.0,1821.7,"AECI"
"01-15-2010",17,1646.0,1822.4,"AECI"
"01-15-2010",18,1637.0,1804.6999999999998,"AECI"
"01-15-2010",19,1632.0,1798.5,"AECI"
"01-15-2010",20,1635.0,1812.9,"AECI"
"01-15-2010",21,1633.0,1804.9,"AECI"
"01-15-2010",22,1626.0,1795.0,"AECI"
"01-15-2010",23,1629.0,1797.5,"AECI"
"01-16-2010",0,1626.0,1792.8999999999999,"AECI"
"01-16-2010",1,1619.0,1782.0,"AECI"
"01-16-2010",2,1583.0,1747.9,"AECI"
"01-16-2010",3,1584.0,1744.8000000000002,"AECI"
"01-16-2010",4,1641.0,1800.1000000000004,"AECI"
"01-16-2010",5,1655.0,1796.5,"AECI"
"01-16-2010",6,1653.0,1817.8999999999999,"AECI"
"01-16-2010",7,1652.0,1805.1000000000001,"AECI"
"01-16-2010",8,1630.0,1798.6,"AECI"
"01-16-2010",9,1622.0,1788.6,"AECI"
"01-16-2010",10,1617.0,1775.4999999999998,"AECI"
"01-16-2010",11,1616.0,1779.5,"AECI"
"01-16-2010",12,1618.0,1769.2,"AECI"
"01-16-2010",13,1617.0,1771.4,"AECI"
"01-16-2010",14,1618.0,1779.7,"AECI"
"01-16-2010",15,1619.0,1773.9,"AECI"
"01-16-2010",16,1618.0,1777.0,"AECI"
"01-16-2010",17,1618.0,1773.3000000000002,"AECI"
"01-16-2010",18,1619.0,1772.6,"AECI"
"01-16-2010",19,1618.0,1773.2,"AECI"
"01-16-2010",20,1618.0,1776.5,"AECI"
"01-16-2010",21,1620.0,1774.5,"AECI"
"01-16-2010",22,1598.0,1737.6,"AECI"
"01-16-2010",23,1541.0,1664.1000000000001,"AECI"
"01-17-2010",0,1495.0,1615.0,"AECI"
"01-17-2010",1,1478.0,1601.2,"AECI"
"01-17-2010",2,1430.0,1548.1999999999998,"AECI"
"01-17-2010",3,1435.0,1558.4,"AECI"
"01-17-2010",4,1487.0,1613.4,"AECI"
"01-17-2010",5,1525.0,1631.6999999999998,"AECI"
"01-17-2010",6,1537.0,1663.2,"AECI"
"01-17-2010",7,1549.0,1655.4,"AECI"
"01-17-2010",8,1563.0,1695.4,"AECI"
"01-17-2010",9,1542.0,1663.1,"AECI"
"01-17-2010",10,1566.0,1698.9,"AECI"
"01-17-2010",11,1574.0,1695.2,"AECI"
"01-17-2010",12,1594.0,1713.3000000000002,"AECI"
"01-17-2010",13,1589.0,1712.6000000000001,"AECI"
"01-17-2010",14,1579.0,1699.8000000000002,"AECI"
"01-17-2010",15,1558.0,1684.6999999999998,"AECI"
"01-17-2010",16,1512.0,1634.8000000000002,"AECI"
"01-17-2010",17,1589.0,1714.0,"AECI"
"01-17-2010",18,1586.0,1707.9,"AECI"
"01-17-2010",19,1590.0,1717.8,"AECI"
"01-17-2010",20,1583.0,1715.2000000000003,"AECI"
"01-17-2010",21,1579.0,1708.1,"AECI"
"01-17-2010",22,1525.0,1646.1,"AECI"
"01-17-2010",23,1486.0,1612.8,"AECI"
"01-18-2010",0,1491.0,1614.9,"AECI"
"01-18-2010",1,1492.0,1620.5,"AECI"
"01-18-2010",2,1414.0,1529.1999999999998,"AECI"
"01-18-2010",3,1405.0,1525.4,"AECI"
"01-18-2010",4,1400.0,1526.1999999999998,"AECI"
"01-18-2010",5,1480.0,1621.6000000000001,"AECI"
"01-18-2010",6,1591.0,1731.2,"AECI"
"01-18-2010",7,1662.0,1794.1999999999998,"AECI"
"01-18-2010",8,1644.0,1794.2999999999997,"AECI"
"01-18-2010",9,1526.0,1660.5,"AECI"
"01-18-2010",10,1518.0,1660.5,"AECI"
"01-18-2010",11,1514.0,1650.4,"AECI"
"01-18-2010",12,1509.0,1632.2999999999997,"AECI"
"01-18-2010",13,1470.0,1597.1999999999998,"AECI"
"01-18-2010",14,1494.0,1630.3,"AECI"
"01-18-2010",15,1520.0,1658.3999999999999,"AECI"
"01-18-2010",16,1531.0,1662.1999999999998,"AECI"
"01-18-2010",17,1541.0,1685.0,"AECI"
"01-18-2010",18,1546.0,1696.5,"AECI"
"01-18-2010",19,1570.0,1720.1999999999998,"AECI"
"01-18-2010",20,1618.0,1763.8999999999999,"AECI"
"01-18-2010",21,1645.0,1795.6999999999998,"AECI"
"01-18-2010",22,1643.0,1780.3999999999999,"AECI"
"01-18-2010",23,1619.0,1750.1999999999998,"AECI"
"01-19-2010",0,1598.0,1733.8000000000002,"AECI"
"01-19-2010",1,1578.0,1704.3000000000002,"AECI"
"01-19-2010",2,1532.0,1667.3000000000002,"AECI"
"01-19-2010",3,1541.0,1667.6,"AECI"
"01-19-2010",4,1565.0,1697.9,"AECI"
"01-19-2010",5,1569.0,1696.7999999999997,"AECI"
"01-19-2010",6,1646.0,1787.6999999999998,"AECI"
"01-19-2010",7,1646.0,1771.1,"AECI"
"01-19-2010",8,1591.0,1717.9,"AECI"
"01-19-2010",9,1529.0,1655.7999999999997,"AECI"
"01-19-2010",10,1535.0,1669.1999999999998,"AECI"
"01-19-2010",11,1539.0,1670.6,"AECI"
"01-19-2010",12,1542.0,1687.0,"AECI"
"01-19-2010",13,1543.0,1708.2,"AECI"
"01-19-2010",14,1482.0,1636.7,"AECI"
"01-19-2010",15,1463.0,1607.5,"AECI"
"01-19-2010",16,1464.0,1608.5,"AECI"
"01-19-2010",17,1466.0,1596.5,"AECI"
"01-19-2010",18,1573.0,1707.6,"AECI"
"01-19-2010",19,1643.0,1773.2,"AECI"
"01-19-2010",20,1637.0,1767.7,"AECI"
"01-19-2010",21,1591.0,1707.0,"AECI"
"01-19-2010",22,1515.0,1622.8,"AECI"
"01-19-2010",23,1433.0,1529.5,"AECI"
"01-20-2010",0,1340.0,1443.9,"AECI"
"01-20-2010",1,1332.0,1436.4,"AECI"
"01-20-2010",2,1332.0,1434.6999999999998,"AECI"
"01-20-2010",3,1334.0,1430.4,"AECI"
"01-20-2010",4,1360.0,1455.5,"AECI"
"01-20-2010",5,1467.0,1558.4,"AECI"
"01-20-2010",6,1608.0,1716.1000000000001,"AECI"
"01-20-2010",7,1647.0,1745.6,"AECI"
"01-20-2010",8,1559.0,1663.4999999999998,"AECI"
"01-20-2010",9,1475.0,1586.3,"AECI"
"01-20-2010",10,1478.0,1594.3000000000002,"AECI"
"01-20-2010",11,1474.0,1596.4,"AECI"
"01-20-2010",12,1474.0,1597.6999999999998,"AECI"
"01-20-2010",13,1484.0,1611.7999999999997,"AECI"
"01-20-2010",14,1478.0,1606.7000000000003,"AECI"
"01-20-2010",15,1471.0,1598.2,"AECI"
"01-20-2010",16,1485.0,1613.3,"AECI"
"01-20-2010",17,1495.0,1625.8,"AECI"
"01-20-2010",18,1593.0,1745.1999999999998,"AECI"
"01-20-2010",19,1626.0,1751.1,"AECI"
"01-20-2010",20,1614.0,1729.3,"AECI"
"01-20-2010",21,1605.0,1759.6999999999998,"AECI"
"01-20-2010",22,1591.0,1703.2,"AECI"
"01-20-2010",23,1490.0,1660.6,"AECI"
"01-21-2010",0,1373.0,1520.6000000000001,"AECI"
"01-21-2010",1,1250.0,1391.1000000000001,"AECI"
"01-21-2010",2,1246.0,1384.1999999999998,"AECI"
"01-21-2010",3,1252.0,1380.4,"AECI"
"01-21-2010",4,1257.0,1378.9,"AECI"
"01-21-2010",5,1394.0,1494.4,"AECI"
"01-21-2010",6,1466.0,1569.4,"AECI"
"01-21-2010",7,1508.0,1617.6999999999998,"AECI"
"01-21-2010",8,1545.0,1686.9,"AECI"
"01-21-2010",9,1514.0,1673.2,"AECI"
"01-21-2010",10,1519.0,1627.4,"AECI"
"01-21-2010",11,1518.0,1617.6,"AECI"
"01-21-2010",12,1519.0,1630.1999999999998,"AECI"
"01-21-2010",13,1515.0,1619.5,"AECI"
"01-21-2010",14,1494.0,1604.0,"AECI"
"01-21-2010",15,1464.0,1576.9,"AECI"
"01-21-2010",16,1474.0,1584.8,"AECI"
"01-21-2010",17,1462.0,1576.6999999999998,"AECI"
"01-21-2010",18,1590.0,1718.4,"AECI"
"01-21-2010",19,1625.0,1747.1000000000001,"AECI"
"01-21-2010",20,1624.0,1740.8,"AECI"
"01-21-2010",21,1608.0,1730.9,"AECI"
"01-21-2010",22,1609.0,1727.1,"AECI"
"01-21-2010",23,1524.0,1636.1,"AECI"
"01-22-2010",0,1403.0,1582.2,"AECI"
"01-22-2010",1,1398.0,1568.5,"AECI"
"01-22-2010",2,1397.0,1572.6,"AECI"
"01-22-2010",3,1399.0,1584.5,"AECI"
"01-22-2010",4,1399.0,1579.3,"AECI"
"01-22-2010",5,1476.0,1610.9,"AECI"
"01-22-2010",6,1529.0,1652.6999999999998,"AECI"
"01-22-2010",7,1412.0,1529.3,"AECI"
"01-22-2010",8,1405.0,1529.8000000000002,"AECI"
